ticker,entry_date,exit_date,ret_pct,r,score,rs,gate_ok
ABB,2007-06-21,2007-06-28,11.32,1.95,83.8,90.4,True
ABB,2007-06-22,2007-06-29,11.94,1.95,86.0,90.4,True
ABB,2007-07-24,2007-08-17,-10.54,-1.03,80.9,87.5,True
ABB,2007-08-01,2007-08-17,-9.24,-1.03,82.5,89.0,True
ABB,2007-08-08,2007-08-17,-9.34,-1.03,79.0,91.8,True
ABB,2007-08-09,2007-08-17,-9.49,-1.03,81.9,91.8,True
ABB,2007-08-28,2007-09-24,18.17,1.52,69.4,87.7,True
ABB,2007-08-29,2007-09-21,20.51,1.97,69.2,87.7,True
ABB,2007-08-31,2007-09-27,16.37,1.32,71.1,87.7,True
ABB,2007-09-03,2007-09-28,16.16,1.62,70.0,87.7,True
ABB,2007-09-04,2007-10-01,8.81,0.8,70.8,85.1,True
ABB,2007-09-05,2007-10-03,10.77,0.96,70.1,87.8,True
ABB,2007-10-24,2007-11-20,11.5,0.88,72.7,86.6,True
ABB,2007-11-14,2007-11-22,-10.16,-1.03,73.4,84.9,True
ABB,2007-11-15,2007-11-22,-11.49,-1.03,73.2,84.9,True
ABB,2007-12-04,2007-12-20,-10.25,-1.03,77.8,84.0,True
ABB,2009-08-26,2009-09-23,9.37,0.76,45.0,11.8,True
ABB,2009-08-28,2009-09-25,5.4,0.55,44.3,11.8,True
ABB,2009-09-15,2009-10-16,7.46,1.01,51.9,10.8,True
ABB,2009-09-16,2009-10-20,5.89,0.84,52.1,8.6,True
ABB,2009-09-17,2009-10-21,0.93,0.09,52.4,7.5,True
ABB,2009-10-09,2009-10-27,-7.46,-1.04,58.3,7.5,True
ABB,2009-10-15,2009-10-27,-7.55,-1.04,52.3,6.4,True
ABB,2009-10-16,2009-10-27,-7.27,-1.04,54.1,7.5,True
ABB,2010-02-01,2010-03-02,-1.04,-0.13,53.4,34.1,True
ABB,2010-03-08,2010-04-06,2.69,0.37,55.1,35.1,True
ABB,2010-03-09,2010-04-07,-1.47,-0.15,53.7,37.3,True
ABB,2010-04-06,2010-04-27,-5.7,-1.06,60.8,40.5,True
ABB,2010-04-12,2010-04-28,-5.87,-1.05,59.4,41.5,True
ABB,2010-04-21,2010-04-26,-5.6,-1.06,55.9,39.4,True
ABB,2010-05-18,2010-06-14,3.54,0.17,45.6,46.3,True
ABB,2010-07-14,2010-07-19,-3.59,-1.09,51.2,12.6,True
ABB,2010-10-15,2010-10-29,-9.86,-1.03,42.7,17.5,True
ABB,2011-05-18,2011-06-14,-1.4,-0.2,50.3,37.0,False
ABB,2011-06-01,2011-06-20,-6.35,-1.05,48.3,27.0,False
ABB,2011-06-27,2011-07-22,7.63,1.35,53.8,29.7,False
ABB,2011-06-29,2011-07-26,4.74,0.82,53.8,35.6,False
ABB,2011-07-25,2011-08-05,-6.18,-1.05,52.6,42.6,False
ABB,2012-07-31,2012-08-29,-6.59,-0.86,59.0,49.5,True
ABB,2012-09-18,2012-10-17,2.13,0.32,41.1,26.0,True
ABB,2012-09-24,2012-10-22,2.77,0.42,41.2,21.1,True
ABB,2012-09-25,2012-10-23,-4.46,-0.55,40.6,28.8,True
ABB,2012-10-12,2012-10-29,-6.04,-1.05,54.9,45.2,True
ABB,2012-10-15,2012-10-29,-6.02,-1.05,49.9,49.0,True
ABB,2014-02-19,2014-03-20,17.3,1.12,52.1,59.0,True
ABB,2014-02-20,2014-03-21,16.64,1.03,53.2,61.9,True
ABB,2014-04-10,2014-05-13,4.77,0.65,79.3,89.5,True
ABB,2014-04-21,2014-05-20,8.87,1.22,83.0,89.5,True
ABB,2014-05-02,2014-05-21,13.08,1.96,90.1,88.5,True
ABB,2014-05-12,2014-05-21,12.87,1.95,84.5,86.6,True
ABB,2014-05-13,2014-06-09,15.8,1.67,81.5,88.5,True
ABB,2014-07-17,2014-08-14,-9.19,-1.03,76.5,80.9,True
ABB,2014-09-02,2014-09-29,6.24,0.53,77.1,84.7,True
ABB,2014-10-27,2014-11-25,0.04,0.0,68.3,82.8,True
ABB,2014-10-28,2014-11-26,-5.31,-0.37,73.2,82.8,True
ABB,2014-11-12,2014-12-04,19.17,1.97,62.3,68.5,True
ABB,2014-11-17,2014-12-04,18.2,1.97,65.7,68.5,True
