Month,Year,Starting Capital,Total Trades,Winning Trades,Losing Trades,Win Rate,Gross Profit,Gross Loss,Net P&L (Before Tax),STT & Charges,STCG Tax (20.8%),Net P&L (After Tax),Monthly Return %,Cumulative P&L,Current Capital,Max Drawdown %,Avg R:R,Profit Factor,Withdrawn,Reinvested,Notes
Aug,2026,1500000,0,0,0,0%,0,0,0,0,0,0,0%,0,1500000,0%,0,0,0,0,Starting month
Sep,2026,,,,,,,,,,,,,,,,,,,,
Oct,2026,,,,,,,,,,,,,,,,,,,,
Nov,2026,,,,,,,,,,,,,,,,,,,,
Dec,2026,,,,,,,,,,,,,,,,,,,,
Jan,2027,,,,,,,,,,,,,,,,,,,,
Feb,2027,,,,,,,,,,,,,,,,,,,,
Mar,2027,,,,,,,,,,,,,,,,,,,,
Apr,2027,,,,,,,,,,,,,,,,,,,,
May,2027,,,,,,,,,,,,,,,,,,,,
Jun,2027,,,,,,,,,,,,,,,,,,,,
Jul,2027,,,,,,,,,,,,,,,,,,,,
Aug,2027,,,,,,,,,,,,,,,,,,,,

