logged_at,signal_date,ticker,setup,action,entry_zone,stop,target_2R,qty,notional,rs,gate
2026-08-21T19:17:08,2026-08-21,ABCAPITAL,PULLBACK,SUPPRESSED_RS,413.0,390.3,458.4,363,149919,89,CLOSED
2026-08-21T19:17:08,2026-08-21,HINDZINC,PULLBACK,SUPPRESSED_RS,594.9,544.7,695.3,179,106487,79,CLOSED
2026-08-21T19:17:08,2026-08-21,NYKAA,PULLBACK,SUPPRESSED_RS,334.0,316.5,369.0,449,149966,89,CLOSED
2026-08-21T19:17:08,2026-08-21,UNITDSPR,PULLBACK,SUPPRESSED_RS,1556.0,1489.8,1688.4,96,149376,62,CLOSED
2026-08-21T19:17:08,2026-08-21,BSE,BB_REV,WATCH,3241.0,3083.2,3556.7,46,149086,72,CLOSED
2026-08-21T19:17:08,2026-08-21,CUMMINSIND,BB_REV,WATCH,5107.5,4917.2,5488.0,29,148117,75,CLOSED
2026-08-21T19:17:08,2026-08-21,POWERINDIA,PULLBACK,WATCH,34190.0,31531.2,39507.7,3,102570,91,CLOSED
2026-08-21T19:17:08,2026-08-21,VEDL,PULLBACK,WATCH,279.0,259.5,318.0,461,128619,92,CLOSED
2026-08-21T19:17:08,2026-08-21,ICICIBANK,TIER2,WATCH,1420.0,1373.8,1512.5,105,149100,39,CLOSED
2026-08-21T19:17:08,2026-08-21,BEL,TIER2,WATCH,413.1,398.0,443.5,363,149973,49,CLOSED
2026-08-21T19:17:08,2026-08-21,HAL,TIER2,WATCH,4994.6,4752.3,5479.1,30,149838,52,CLOSED
2026-08-21T19:17:08,2026-08-21,-,GATE,CLOSED,,,,,,,CLOSED
2026-08-23T11:26:59,2026-08-23,-,GATE,CLOSED,,,,,,,,CLOSED
2026-08-23T11:50:05,2026-08-21,ABCAPITAL,PULLBACK,SUPPRESSED_RS,413.0,390.3,458.4,363,149919,89,418.0,CLOSED
2026-08-23T11:50:05,2026-08-20,BAJAJ_AUTO,PULLBACK,SUPPRESSED_RS,11793.0,11321.9,12735.2,12,141516,82,11897.7,CLOSED
2026-08-23T11:50:05,2026-08-20,BAJFINANCE,PULLBACK,SUPPRESSED_RS,1095.0,1038.9,1207.1,136,148920,67,1107.5,CLOSED
2026-08-23T11:50:05,2026-08-21,HINDZINC,PULLBACK,SUPPRESSED_RS,594.9,544.7,695.3,179,106487,79,603.1,CLOSED
2026-08-23T11:50:05,2026-08-20,JSWSTEEL,PULLBACK,SUPPRESSED_RS,1299.7,1241.9,1415.3,115,149465,65,1312.5,CLOSED
2026-08-23T11:50:05,2026-08-20,LODHA,PULLBACK,SUPPRESSED_RS,1240.0,1150.8,1418.3,100,124000,40,1259.8,CLOSED
2026-08-23T11:50:05,2026-08-21,NYKAA,PULLBACK,SUPPRESSED_RS,334.0,316.5,369.0,449,149966,89,337.9,CLOSED
2026-08-23T11:50:05,2026-08-21,UNITDSPR,PULLBACK,SUPPRESSED_RS,1556.0,1489.8,1688.4,96,149376,61,1570.7,CLOSED
2026-08-23T11:50:05,2026-08-20,ADANIGREEN,BB_REV,WATCH,1301.8,1243.3,1418.7,115,149707,83,1321.3,CLOSED
2026-08-23T11:50:05,2026-08-21,BSE,BB_REV,WATCH,3241.0,3083.2,3556.7,46,149086,71,3293.6,CLOSED
2026-08-23T11:50:05,2026-08-21,CUMMINSIND,BB_REV,WATCH,5107.5,4917.2,5488.0,29,148117,75,5170.9,CLOSED
2026-08-23T11:50:05,2026-08-20,GMRAIRPORT,BB_REV,WATCH,100.4,96.8,107.6,1493,149912,55,101.6,CLOSED
2026-08-23T11:50:05,2026-08-20,LAURUSLABS,PULLBACK,WATCH,1825.0,1736.9,2001.2,82,149650,98,1844.6,CLOSED
2026-08-23T11:50:05,2026-08-20,NAM_INDIA,PULLBACK,WATCH,1232.5,1146.5,1404.6,104,128180,90,1249.8,CLOSED
2026-08-23T11:50:05,2026-08-21,POWERINDIA,PULLBACK,WATCH,34190.0,31531.2,39507.7,3,102570,91,34780.9,CLOSED
2026-08-23T11:50:05,2026-08-21,VEDL,PULLBACK,WATCH,279.0,259.5,318.0,461,128619,92,282.7,CLOSED
2026-08-23T11:50:05,2026-08-21,ICICIBANK,TIER2,WATCH,1420.0,1373.8,1512.5,105,149100,38,1430.3,CLOSED
2026-08-23T11:50:05,2026-08-21,BEL,TIER2,WATCH,414.0,398.8,444.3,362,149868,49,417.4,CLOSED
2026-08-23T11:50:05,2026-08-21,HAL,TIER2,WATCH,5000.0,4756.4,5487.1,30,150000,51,5054.1,CLOSED
2026-08-23T11:50:05,2026-08-23,-,GATE,CLOSED,,,,,,,,CLOSED
